date,Pettah,Dambulla
2025-08-20 10:15:26.731861,359.00370329618454,320.89515566825867
2025-08-21 10:15:26.731861,365.24471640586853,312.44661009311676
2025-08-22 10:15:26.731861,368.99260729551315,306.57784497737885
2025-08-23 10:15:26.731861,372.7231964468956,303.73108518123627
2025-08-24 10:15:26.731861,376.54495537281036,302.71670711040497
2025-08-25 10:15:26.731861,379.18611764907837,302.43753802776337
2025-08-26 10:15:26.731861,381.31704330444336,302.6354899406433
2025-08-27 10:15:26.731861,383.4395334124565,303.3482315540314
2025-08-28 10:15:26.731861,385.5781093239784,304.4224588871002
2025-08-29 10:15:26.731861,387.7224862575531,305.7411503791809
2025-08-30 10:15:26.731861,389.84403908252716,307.21759152412415
2025-08-31 10:15:26.731861,391.94271713495255,308.80048978328705
2025-09-01 10:15:26.731861,394.02915984392166,310.4588210582733
2025-09-02 10:15:26.731861,396.1092948913574,312.1704525947571
2025-09-03 10:15:26.731861,398.18578213453293,313.9197050333023
2025-09-04 10:15:26.731861,400.2595841884613,315.69529688358307
2025-09-05 10:15:26.731861,402.3313596844673,317.48934066295624
2025-09-06 10:15:26.731861,404.4017419219017,319.2964346408844
2025-09-07 10:15:26.731861,406.44937604665756,321.1080220937729
2025-09-08 10:15:26.731861,408.4795817732811,322.91172206401825
2025-09-09 10:15:26.731861,410.4933977127075,324.7037103176117
2025-09-10 10:15:26.731861,412.49135583639145,326.48408246040344
2025-09-11 10:15:26.731861,414.4746467471123,328.25307750701904
2025-09-12 10:15:26.731861,416.4438784122467,330.0106954574585
2025-09-13 10:15:26.731861,418.3994308114052,331.7569363117218
2025-09-14 10:15:26.731861,420.341557264328,333.4920390844345
2025-09-15 10:15:26.731861,422.2705617547035,335.21614718437195
2025-09-16 10:15:26.731861,424.18690025806427,336.92949962615967
2025-09-17 10:15:26.731861,426.09085142612463,338.6323832273483
2025-09-18 10:15:26.731861,427.98289656639105,340.3250370025635
